target,drug1,drug2,affinity1,affinity2
ABL1(E255K),126565,44259,840.0,22.0
ABL1(F317I),126565,44259,10000.0,550.0
ABL1(F317I)p,126565,44259,4900.0,130.0
ABL1(F317L),126565,44259,7600.0,170.0
ABL1(F317L)p,126565,44259,2200.0,46.0
ABL1(H396P),126565,44259,1000.0,18.0
ABL1(H396P)p,126565,44259,870.0,36.0
ABL1(M351T),126565,44259,780.0,52.0
ABL1(Q252H),126565,44259,2500.0,21.0
ABL1(Q252H)p,5291,10074640,92.0,4.6
ABL1(Q252H)p,126565,44259,830.0,11.0
ABL1(T315I),126565,44259,950.0,8.4
ABL1(T315I)p,126565,44259,160.0,2.9
ABL1(Y253F),126565,44259,910.0,23.0
ABL1,126565,44259,3200.0,37.0
ABL1p,126565,44259,1000.0,22.0
ABL2,5291,10074640,10.0,110.0
ABL2,126565,44259,6500.0,110.0
AKT1,126565,44259,4400.0,20.0
AKT2,126565,44259,2100.0,44.0
AKT3,126565,44259,6200.0,170.0
BLK,126565,44259,160.0,15.0
CAMK1D,126565,44259,47.0,1.1
CAMK1G,126565,44259,470.0,23.0
CAMK2A,126565,44259,10.0,0.16
CAMK2B,126565,44259,59.0,1.3
CAMK2D,126565,44259,8.8,0.32
CAMK2G,126565,44259,26.0,0.55
CAMK4,126565,44259,3000.0,41.0
CAMKK1,126565,44259,23.0,0.039
CAMKK2,126565,44259,15.0,0.16
CASK,126565,44259,330.0,19.0
CDC2L5,126565,44259,1000.0,70.0
CDK11,126565,44259,10000.0,190.0
CDK3,126565,44259,420.0,30.0
CDK8,126565,44259,8000.0,510.0
CDKL2,126565,44259,43.0,510.0
CDKL3,126565,44259,430.0,5100.0
CDKL5,126565,44259,10.0,340.0
CLK3,126565,44259,10000.0,910.0
CSNK1A1,126565,44259,10000.0,970.0
CSNK1A1L,126565,44259,7100.0,250.0
CSNK1E,126565,44259,10000.0,73.0
CSNK1G2,126565,44259,10000.0,780.0
DAPK1,126565,44259,80.0,1.4
DAPK2,126565,44259,63.0,1.6
DAPK3,126565,44259,82.0,1.0
DCAMKL1,126565,44259,10000.0,110.0
DCAMKL2,126565,44259,4500.0,73.0
DCAMKL3,126565,44259,1100.0,17.0
DDR1,5291,10074640,0.7,8.7
DDR1,126565,44259,510.0,19.0
DMPK,126565,44259,240.0,3.5
DMPK2,126565,44259,2500.0,37.0
DYRK2,126565,44259,22.0,250.0
EGFR(L858RT790M),126565,44259,7.8,0.35
EGFR(T790M),126565,44259,16.0,0.77
EPHA5,126565,44259,5900.0,95.0
EPHA8,126565,44259,10000.0,190.0
EPHB1,126565,44259,5200.0,240.0
ERBB2,126565,44259,10000.0,190.0
FAK,126565,44259,1100.0,64.0
FES,126565,44259,370.0,23.0
FLT3(R834Q),126565,44259,7.0,0.22
FRK,5291,10074640,1500.0,87.0
FRK,126565,44259,740.0,45.0
FYN,5291,10074640,3100.0,140.0
GRK1,126565,44259,24.0,0.97
GSK3A,126565,44259,2300.0,140.0
GSK3B,126565,44259,1300.0,69.0
HCK,5291,10074640,10000.0,690.0
HCK,126565,44259,270.0,20.0
HIPK4,5291,10074640,960.0,10000.0
IGF1R,126565,44259,4200.0,210.0
INSRR,126565,44259,1800.0,81.0
ITK,126565,44259,290.0,19.0
JNK1,126565,44259,11.0,220.0
KIT(A829P),126565,44259,35.0,0.6
KIT(D816H),126565,44259,11.0,0.43
KIT(D816V),126565,44259,7.1,0.64
KIT(V559D-V654A),5291,10074640,91.0,4.7
LATS2,126565,44259,1.0,17.0
LCK,126565,44259,430.0,30.0
LOK,126565,44259,5.7,0.037
LTK,126565,44259,490.0,37.0
LYN,5291,10074640,890.0,61.0
MAP3K1,126565,44259,4400.0,350.0
MAP3K3,126565,44259,6.0,2800.0
MAP4K3,126565,44259,110.0,8.2
MARK1,126565,44259,83.0,4.0
MARK2,126565,44259,14.0,0.7
MARK3,126565,44259,49.0,3.0
MARK4,126565,44259,120.0,5.4
MEK4,126565,44259,3.8,70.0
MEK6,126565,44259,44.0,3.4
MKNK2,126565,44259,1.4,17.0
MLCK,126565,44259,12.0,140.0
MRCKA,126565,44259,9200.0,57.0
MRCKB,126565,44259,1000.0,42.0
MST1,126565,44259,3.0,0.19
MST1R,126565,44259,8200.0,400.0
MST2,126565,44259,2.4,0.18
MUSK,126565,44259,4100.0,86.0
MYLK4,126565,44259,29.0,470.0
NDR2,126565,44259,370.0,28.0
NIM1,126565,44259,1800.0,140.0
OSR1,126565,44259,8000.0,440.0
p38-delta,126565,44259,3500.0,240.0
PAK1,126565,44259,30.0,0.57
PAK2,126565,44259,43.0,3.1
PAK6,126565,44259,9.9,0.57
PAK7,126565,44259,24.0,1.2
PCTK3,126565,44259,10000.0,270.0
PDGFRA,126565,44259,350.0,10.0
PDGFRB,126565,44259,29.0,1.8
PFCDPK1(Pfalciparum),126565,44259,5.6,0.25
PHKG2,126565,44259,1.7,0.14
PIK3CA(H1047Y),126565,44259,650.0,10000.0
PIM1,126565,44259,200.0,3.2
PIM2,126565,44259,250.0,1.9
PIM3,5291,10074640,10000.0,720.0
PIM3,126565,44259,18.0,0.51
PIP5K2C,5291,10074640,380.0,10000.0
PKAC-alpha,126565,44259,220.0,19.0
PRKCD,126565,44259,240.0,1.5
PRKCE,126565,44259,160.0,0.25
PRKCH,126565,44259,140.0,4.8
PRKCI,126565,44259,1800.0,26.0
PRKCQ,126565,44259,100.0,8.5
PRKG1,126565,44259,370.0,32.0
PYK2,126565,44259,41.0,3.5
QSK,126565,44259,120.0,0.46
RIOK1,126565,44259,9.0,130.0
RIOK2,126565,44259,6700.0,390.0
ROCK1,126565,44259,56.0,0.28
ROCK2,126565,44259,71.0,0.24
S6K1,126565,44259,69.0,1.3
SBK1,126565,44259,200.0,3.2
SIK,126565,44259,82.0,2.2
SIK2,126565,44259,15.0,1.1
SLK,126565,44259,35.0,0.024
SNARK,126565,44259,1.0,0.086
SNRK,126565,44259,10000.0,90.0
SRC,5291,10074640,10000.0,900.0
STK16,126565,44259,19.0,270.0
STK33,126565,44259,26.0,1.8
TAK1,126565,44259,2.9,67.0
TAOK1,126565,44259,70.0,0.45
TAOK2,126565,44259,500.0,12.0
TAOK3,126565,44259,86.0,0.22
TBK1,126565,44259,18.0,0.89
TGFBR1,126565,44259,120.0,2000.0
TGFBR2,126565,44259,540.0,10000.0
TIE1,126565,44259,680.0,65.0
ULK1,126565,44259,1000.0,9.9
ULK2,126565,44259,60.0,0.79
YANK1,126565,44259,2100.0,13.0
YANK2,126565,44259,5900.0,98.0
YANK3,126565,44259,8000.0,310.0
YES,5291,10074640,10000.0,570.0
