drug1,drug2,smiles1,smiles2,cliff,target,split,UMAP_Dimension_1,UMAP_Dimension_2
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 361::US9745328, Compound 361::US9884878, Compound 361",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ccc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCC(CO)CC1,0,517,0.0,-0.28943902,1.8985257
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 310::US9745328, Compound 310::US9884878, Compound 310",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1ccccc1NS(=O)(=O)N1CCOCC1,1,517,0.0,-15.7210245,-1.655242
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 828::US9745328, Compound 828::US9884878, Compound 828",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)C1CC1,1,517,0.0,-16.965319,-1.3216279
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 579::US9745328, Compound 579::US9884878, Compound 579",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1nc(cs1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCCC1,1,517,0.0,-17.162058,-1.0191199
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 303::US9745328, Compound 303::US9884878, Compound 303",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,1,517,0.0,-15.71851,-1.6724648
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 142::US9745328, Compound 142::US9884878, Compound 142",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOC(CO)C1,0,517,0.0,-2.5512037,4.3801136
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 68::US9745328, Compound 68::US9884878, Compound 68",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCC(CO)CC1,0,517,0.0,0.34333676,-0.980239
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 53::US9745328, Compound 53::US9884878, Compound 53",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCCCCC1,0,517,0.0,-0.06813244,0.6426577
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 477::US9745328, Compound 477::US9884878, Compound 477",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)c1ccccc1,0,517,0.0,-2.0400858,4.3841486
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 360::US9745328, Compound 360::US9884878, Compound 360",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ccc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCC(O)CC1,0,517,0.0,-3.0480435,4.803308
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 183::US9745328, Compound 183::US9884878, Compound 183",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1NS(=O)(=O)N1CCOCC1,0,517,0.0,-2.4016407,5.650866
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 132::US9745328, Compound 132::US9884878, Compound 132",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)NCCCCCO,0,517,0.0,-0.21858953,-1.0532187
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 573::US9745328, Compound 573::US9884878, Compound 573",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1)-c1ccccc1S(=O)(=O)N1CCOCC1,1,517,0.0,-16.406897,-1.6510397
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 829::US9745328, Compound 829::US9884878, Compound 829",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)C1CC1,0,517,0.0,0.2951061,0.71399367
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 222::US9745328, Compound 222::US9884878, Compound 222",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1CS(=O)(=O)N1CC(O)C1,1,517,0.0,-16.649693,-0.7661837
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 88::US9745328, Compound 88::US9884878, Compound 88",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)NCCO,0,517,0.0,-0.5275389,2.5987
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 59::US9745328, Compound 59::US9884878, Compound 59",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCN(CCO)CC1,0,517,0.0,-2.7336597,4.333179
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 664::US9745328, Compound 664::US9884878, Compound 664",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)NCC1(O)CNC1,0,517,0.0,-0.6677481,2.5385
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 808::US9745328, Compound 808::US9884878, Compound 808",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)C1CCCCC1,1,517,0.0,0.3940596,-1.5039787
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 202::US9745328, Compound 202::US9884878, Compound 202",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1SCC(=O)N1CCOCC1,1,517,0.0,0.08449509,-1.5098653
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 76::US9745328, Compound 76::US9884878, Compound 76",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCCC(CO)C1,0,517,0.0,0.08727885,-0.4426283
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 196::US9745328, Compound 196::US9884878, Compound 196",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)C1CCC1,0,517,0.0,-1.7118171,4.1450105
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 720::US9745328, Compound 720::US9884878, Compound 720",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)c1ccncn1,1,517,0.0,-14.064042,-1.8884093
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 822::US9745328, Compound 822::US9884878, Compound 822",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)CCN1CCOCC1,1,517,0.0,-16.169546,-1.5127256
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 346::US9745328, Compound 346::US9884878, Compound 346",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ccc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)NC1CCCCC1,0,517,0.0,0.050564837,0.31100145
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 54::US9079866, 56::US9745328, Compound 56::US9884878, Compound 56",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,CN1CCN(CC1)S(=O)(=O)c1ccccc1-c1ccc(c(F)c1)-c1cnc(N)cn1,0,517,0.0,-2.9325855,4.674358
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 821::US9745328, Compound 821::US9884878, Compound 821",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)CCN1CCOCC1,1,517,0.0,-14.494667,-1.8587631
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 660::US9745328, Compound 660::US9884878, Compound 660",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ccc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,1,517,0.0,-17.035568,-0.46955118
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","BDBM168855::US9079866, 828::US9745328, Compound 254::US9884878, Compound 254",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)C1CC1,1,517,0.0,-17.08179,-1.2505435
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 344::US9745328, Compound 344::US9884878, Compound 344",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ccc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCCC1,1,517,0.0,-17.002447,-0.5615866
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 345::US9745328, Compound 345::US9884878, Compound 345",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ccc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCCCC1,0,517,0.0,-2.6979673,4.697123
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 119::US9745328, Compound 119::US9884878, Compound 119",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CC(O)C1,0,517,0.0,0.07284858,0.12489019
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 723::US9745328, Compound 723::US9884878, Compound 723",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)S(=O)(=O)c1ccccc1-c1ccc(c(F)c1)-c1cnc(N)nc1,1,517,0.0,-14.183355,-2.3008459
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 832::US9745328, Compound 832::US9884878, Compound 832",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)C1CCNCC1,1,517,0.0,-15.145368,-1.7264644
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 830::US9745328, Compound 830::US9884878, Compound 830",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)C1CCOCC1,0,517,0.0,0.14862968,1.0821244
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 804::US9884878, Compound 804",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)C1CCNC1,1,517,0.0,-15.886181,-1.4870509
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 169::US9745328, Compound 169::US9884878, Compound 169",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)NCCC#N,0,517,0.0,-0.16918316,-0.5528498
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 806::US9745328, Compound 806::US9884878, Compound 806",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)C1CCC1,0,517,0.0,-0.0510208,-1.29259
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 824::US9745328, Compound 824::US9884878, Compound 824",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)CC1CCOCC1,0,517,0.0,-2.4680219,3.8008597
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 46::US9745328, Compound 46::US9884878, Compound 46",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCNCC1,0,517,0.0,-2.611684,5.818845
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 810::US9745328, Compound 810::US9884878, Compound 810",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)C1CCCC1,1,517,0.0,0.49344096,-1.3051971
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 65::US9745328, Compound 65::US9884878, Compound 65",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,NC1CCN(CC1)S(=O)(=O)c1ccccc1-c1ccc(c(F)c1)-c1cnc(N)cn1,0,517,0.0,-2.4131498,5.6880927
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 827::US9745328, Compound 827::US9884878, Compound 827",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)C1CCNCC1,1,517,0.0,-14.26346,-2.015517
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 66::US9745328, Compound 66::US9884878, Compound 66",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCNC(=O)C1,0,517,0.0,-3.2701573,4.508726
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 133::US9745328, Compound 133::US9884878, Compound 133",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)NCCCCCCO,0,517,0.0,-0.05780266,-0.8114701
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 803::US9745328, Compound 804::US9884878, Compound 803",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)C1CCNC1,1,517,0.0,-16.68113,-1.0328209
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 195::US9745328, Compound 195::US9884878, Compound 195",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)C1CCCC1,0,517,0.0,0.475647,0.4708859
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 807::US9745328, Compound 807::US9884878, Compound 807",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)C1CCCCC1,0,517,0.0,-0.81209296,2.4219768
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 69::US9745328, Compound 69::US9884878, Compound 69",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCC(CCO)CC1,0,517,1.0,0.21357927,-1.1160051
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 67::US9745328, Compound 67::US9884878, Compound 67",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCC(O)CC1,0,517,1.0,-0.20395528,0.72212845
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 123::US9745328, Compound 123::US9884878, Compound 123",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)NC1CCNCC1,1,517,1.0,-16.767126,-0.5613568
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 309::US9745328, Compound 309::US9884878, Compound 309",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1ccccc1NS(=O)(=O)N1CCCC1,1,517,1.0,-16.396809,-1.3940629
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 80::US9745328, Compound 80::US9884878, Compound 80",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)NCCCO,0,517,1.0,0.22527158,0.92805535
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 290::US9745328, Compound 290::US9884878, Compound 290",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCNCC1,1,517,1.0,-15.48356,-1.7538847
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 125::US9745328, Compound 125::US9884878, Compound 125",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)NCC1CNC1,0,517,2.0,-2.669231,5.813536
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 283::US9745328, Compound 283::US9884878, Compound 283",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)NCC1CC1,0,517,2.0,-0.5274258,3.0083961
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 339::US9745328, Compound 339::US9884878, Compound 339",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(nc1)S(=O)(=O)c1ccccc1-c1ccc(c(F)c1)-c1cnc(N)nc1,1,517,2.0,-14.674327,-1.6607994
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 70::US9745328, Compound 70::US9884878, Compound 70",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCCC(O)C1,0,517,2.0,0.2596071,-0.21195734
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 301::US9745328, Compound 301::US9884878, Compound 301",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCCCC1,0,517,2.0,-2.782058,4.4726744
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 265::US9745328, Compound 265::US9884878, Compound 265",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CC(O)C1,0,517,2.0,-2.4905643,5.6729527
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 197::US9745328, Compound 197::US9884878, Compound 197",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)C1CC1,0,517,2.0,-1.4115473,3.7834513
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 719::US9745328, Compound 719::US9884878, Compound 719",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)c1cnccn1,1,517,2.0,-14.233426,-2.3042567
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 48::US9745328, Compound 48::US9884878, Compound 48",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCCC1,0,517,2.0,-3.178995,4.289557
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 90::US9745328, Compound 90::US9884878, Compound 90",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)NCC1CC1,0,517,2.0,0.42916343,-1.2590839
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 89::US9745328, Compound 89::US9884878, Compound 89",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)NC1CC1,0,517,2.0,-0.7495695,3.0008564
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 298::US9745328, Compound 298::US9884878, Compound 298",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCCC1,1,517,2.0,-17.141552,-0.8769225
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 138::US9745328, Compound 138::US9884878, Compound 138",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N(CCO)CCO,0,517,2.0,-2.634401,4.050684
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 831::US9745328, Compound 831::US9884878, Compound 831",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)C1CCOCC1,1,517,2.0,-16.882198,-1.4589823
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 805::US9745328, Compound 805::US9884878, Compound 805",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)C1CCC1,0,517,2.0,-3.2928872,4.640655
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 718::US9745328, Compound 718::US9884878, Compound 718",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)c1ncccn1,1,517,2.0,-14.380266,-2.0200157
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 809::US9884878, Compound 809",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)C1CCCC1,0,517,2.0,-0.5905885,2.2968853
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 181::US9745328, Compound 181::US9884878, Compound 181",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1NS(=O)(=O)N1CCCC1,0,517,2.0,-1.0719112,2.913812
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 44::US9745328, Compound 44::US9884878, Compound 44",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,2,517,,-1.060512,2.8028638
